번호,급,지역,기관명,홈페이지,설립,주소
17,고등학교,담양군,담양고등학교,https://damyang.hs.jne.kr,공립,전라남도 담양군 담양읍 천변7길 11 . 담양고등학교 (담양읍)
18,고등학교,곡성군,곡성고등학교,https://goksung.hs.jne.kr,공립,전라남도 곡성군 곡성읍 학교로 119 (곡성읍)
19,고등학교,구례군,구례고등학교,https://gurye.hs.jne.kr,공립,전라남도 구례군 구례읍 봉성로 15-18 (구례읍.구례고등학교)
20,고등학교,고흥군,고흥고등학교,https://goheung.hs.jne.kr/,공립,전라남도 고흥군 고흥읍 학교길 23 (고흥읍)
21,고등학교,고흥군,녹동고등학교,https://nokdong.hs.jne.kr,공립,전라남도 고흥군 도양읍 비봉뚝길 108 (도양읍)
22,고등학교,보성군,보성고등학교,https://boseong.hs.jne.kr,공립,전라남도 보성군 보성읍 용문길 48 (보성읍)
23,고등학교,화순군,화순고등학교,https://hwasun.hs.jne.kr,공립,전라남도 화순군 화순읍 진각로 31-9 (화순읍. 화순고등학교)
24,고등학교,장흥군,장흥고등학교,https://jangheung.hs.jne.kr,공립,전라남도 장흥군 장흥읍 학사길 13 (장흥읍. 장흥고등학교)
25,고등학교,장흥군,장흥관산고등학교,https://gwansan.hs.jne.kr,공립,전라남도 장흥군 관산읍 당월길 9 . 장흥관산고등학교 (관산읍)
26,고등학교,강진군,강진고등학교,https://gangjin.hs.jne.kr,공립,전라남도 강진군 강진읍 고성길 15-7 (강진읍. 강진고등학교)
27,고등학교,강진군,성전고등학교,https://seongjeon.hs.jne.kr,공립,전라남도 강진군 성전면 별뫼로 367-9 . 성전고등학교 (성전면)
28,고등학교,해남군,해남고등학교,https://haenam.hs.jne.kr,공립,전라남도 해남군 해남읍 명문길 7 (해남읍.해남고등학교)
29,고등학교,영암군,영암고등학교,https://yeongam.hs.jne.kr,공립,전라남도 영암군 영암읍 영암초중고길 40 (영암읍.영암고등학교)
30,고등학교,영암군,영암낭주고등학교,https://ya-nangju.hs.jne.kr/,공립,전라남도 영암군 학산면 영산로 76-35 (학산면)
31,고등학교,영광군,영광고등학교,https://yk.hs.jne.kr,공립,전라남도 영광군 영광읍 옥당로 13-22 (영광읍)
32,고등학교,완도군,완도고등학교,https://wando.hs.jne.kr,공립,전라남도 완도군 완도읍 개포로135번길 55 . (가용리)
33,고등학교,완도군,완도금일고등학교,https://geumil.hs.jne.kr,공립,전라남도 완도군 금일읍 금일로 420 완도금일고등학교
34,고등학교,완도군,약산고등학교,https://yaksan.hs.jne.kr,공립,전라남도 완도군 약산면 약산로 366 . 약산고등학교 (약산면)
35,고등학교,신안군,도초고등학교,https://docho.hs.jne.kr,공립,전라남도 신안군 도초면 서남문로 1493 . 도초고등학교 (도초면)
36,고등학교,목포시,목상고등학교,https://moksang.hs.jne.kr,공립,전라남도 목포시 소영길 13 (용당동)
